county,trump
Alameda,17.70%
Alpine,32.90%
Amador,60.90%
Butte,47.70%
Calaveras,60.80%
Colusa,57.30%
Contra Costa,26.30%
Del Norte,56.40%
El Dorado,53.20%
Fresno,45.10%
Glenn,62.50%
Humboldt,31.60%
Imperial,36.70%
Inyo,48.70%
Kern,53.90%
Kings,54.90%
Lake,45.50%
Lassen,74.80%
Los Angeles,26.90%
Madera,54.70%
Marin,15.80%
Mariposa,57.90%
Mendocino,30.60%
Merced,43.50%
Modoc,71.60%
Mono,37.30%
Monterey,28.20%
Napa,28.70%
Nevada,41.40%
Orange,44.40%
Placer,52.10%
Plumas,57.20%
Riverside,45.00%
Sacramento,36.10%
San Benito,36.70%
San Bernardino,43.50%
San Diego,37.50%
San Francisco,12.70%
San Joaquin,42.00%
San Luis Obispo,42.20%
San Mateo,20.20%
Santa Barbara,32.80%
Santa Clara,25.20%
Santa Cruz,18.60%
Shasta,65.40%
Sierra,59.10%
Siskiyou,56.60%
Solano,33.70%
Sonoma,23.00%
Stanislaus,48.40%
Sutter,57.20%
Tehama,66.60%
Trinity,50.90%
Tulare,52.80%
Tuolumne,58.20%
Ventura,38.40%
Yolo,28.10%
Yuba,59.30%
